Dlin_15mg_ml,DSPC_5mg_ml,Chol_5mg_ml,PEG_0.5mg_ml,EtOH_HV,EtOH_LV,Dlin_5mg_ml,DSPC_0.01mg_ml,DSPC_0.1mg_ml,DSPC_15mg_ml,Chol_1mg_ml,Chol_15mg_ml,PEG_5mg_ml
2.41,2.67,5.205,2.978,36,0.738,0,0,0,0,0,0,0
7.887,10.371,16.66,0,11,0.973,0,0,0,0,0,0,3.109
7.51,6.258,14.252,6.141,15,0.839,0,0,0,0,0,0,0
4.217,5.229,7.437,15.794,17,0.322,0,0,0,0,0,0,0
4.192,4.018,7.98,5.85,27,0.961,0,0,0,0,0,0,0
8.797,11.477,17.692,0,7,0.926,0,0,0,0,0,0,4.107
7.745,8.516,23.473,8.977,1,0.29,0,0,0,0,0,0,0
2.869,10.529,9.062,24.058,3,0.482,0,0,0,0,0,0,0
5.177,21.639,17.915,0,2,0.766,0,0,0,0,0,0,2.503
4.721,14.981,13.017,0,14,0.081,0,0,0,0,0,0,3.2
5.903,7.766,9.901,23.26,3,0.169,0,0,0,0,0,0,0
3.781,20.343,13.889,0,8,0.779,0,0,0,0,0,0,3.208
1.713,0,0,5.466,33,0.535,0,5.354,0,0,3.932,0,0
0,8.447,4.307,32.258,3,0.264,1.725,0,0,0,0,0,0
1.43,0,1.196,0,44,0.032,0,1.427,0,0,0,0,1.915
0,12.673,6.949,18.257,9,0.496,2.625,0,0,0,0,0,0
1.059,5.64,3.979,23.391,15,0.93,0,0,0,0,0,0,0
1.934,0,0,10.407,31,0.932,0,0,2.104,0,3.623,0,0
3.963,0,8.255,0,25,0.897,0,0,0,3.356,0,0,8.529
3.673,2.088,0,0,31,0.24,0,0,0,0,0,4.417,8.581
3.754,0,0,0,24,0.391,0,0,0,6.202,0,2.958,12.695
11.604,3.375,0,0,14,0.62,0,0,0,0,0,11.081,9.32
4.123,4.07,2.551,0,37,0.945,0,0,0,0,0,0,1.31
4.598,10.89,0,0,30,0.445,0,0,0,0,0,1.079,2.988
